"UID","ECONOMIC_ACTIVITY","JOB_DEP","Work_desc","Terms_of_emp","Job_category","JOB_CONDITION","Employer_category","WORKING_HOURS","employee_count","EMOLUMENT"
24952,"HZ","33","654b","CDI","O","C","ct_9",1992,"tr_4",23889
24955,"QB","33","563b","CDI","O","F","ct_7",346,"tr_1",2993
24958,"FZ","33","632a","CDI","O","C","ct_9",1812,"tr_1",18295
24959,"GZ","69","374c","CDI","O","C","ct_9",2200,"tr_5",59480
24960,"CJ","33","676c","CDI","O","C","ct_9",1968,"tr_5",12003
24964,"HZ","33","461b","CDI","O","C","ct_9",1742,"tr_1",22605
24965,"OZ","33","524c","AUT","O","C","ct_2",1823,"tr_6",21441
24966,"QB","33","526d","CDI","O","C","ct_6",2014,"tr_3",21086
24968,"GZ","33","526d","AUT","X","P","ct_9",301,"tr_1",2225
24971,"PZ","33","341a","CDI","O","C","ct_8",1820,"tr_3",27933
24973,"QB","33","676e","CDI","X","C","ct_8",1771,"tr_6",7768
24978,"HZ","33","521a","CDI","O","C","ct_9",1823,"tr_6",18310
24979,"LZ","33","684a","CDI","O","C","ct_9",1061,"tr_1",29994
24982,"HZ","33","451a","CDI","O","C","ct_9",1820,"tr_6",23688
24983,"HZ","33","333c","CDI","O","P","ct_9",1312,"tr_6",25603
24989,"GZ","33","552a","CDI","O","P","ct_9",1059,"tr_5",10899
24994,"HZ","33","333c","CDI","O","C","ct_9",1819,"tr_6",28464
25000,"CL","33","384b","CDD","O","C","ct_9",1872,"tr_6",33601
25001,"QB","33","434e","CDI","O","C","ct_8",1816,"tr_2",18614
25008,"GZ","33","653a","CDI","O","C","ct_9",1828,"tr_3",14716
25010,"OZ","33","523c","AUT","O","P","ct_2",1063,"tr_3",9913
25011,"SZ","33","424a","CDI","O","C","ct_8",1820,"tr_3",48296
25012,"GZ","33","463d","CDI","O","C","ct_9",1872,"tr_3",29261
25013,"PZ","33","423b","CDI","O","P","ct_8",1867,"tr_2",21432
25015,"HZ","33","641a","CDI","O","C","ct_9",1950,"tr_5",20083
25017,"QB","33","525d","CDI","O","P","ct_8",1054,"tr_5",11578
25018,"CB","24","463b","CDI","O","C","ct_9",1287,"tr_4",51071
25021,"HZ","33","387e","AUT","O","C","ct_5",1820,"tr_6",47005
25024,"CG","33","674a","CDI","O","C","ct_9",1888,"tr_2",22855
25027,"JA","75","353c","CDI","O","C","ct_9",1820,"tr_6",77143
25030,"MA","33","373a","CDI","O","C","ct_9",1785,"tr_4",41056
25042,"KZ","92","376e","CDI","O","C","ct_9",1907,"tr_6",48393
25047,"MA","94","374d","CDI","O","P","ct_9",1374,"tr_5",33664
25050,"HZ","33","451a","CDI","O","C","ct_9",1820,"tr_6",21856
25051,"SZ","76","628g","CDI","O","C","ct_9",1507,"tr_1",12553
25053,"QB","33","563a","CDI","O","D","ct_7",3000,"tr_1",13568
25054,"GZ","33","373d","CDI","O","C","ct_9",1519,"tr_2",41529
25055,"GZ","75","554e","CDD","O","K","ct_9",402,"tr_6",4042
25058,"HZ","33","375b","CDI","O","C","ct_9",1820,"tr_5",35919
25060,"MA","33","543g","CDI","O","C","ct_6",1243,"tr_1",13707
25061,"MA","33","652a","CDI","O","C","ct_9",1820,"tr_2",32306
25064,"QB","33","526d","CDI","X","C","ct_8",1777,"tr_4",6348
25066,"IZ","33","525d","CDI","O","C","ct_9",1823,"tr_6",19292
25068,"JA","33","627f","CDI","O","C","ct_9",1824,"tr_6",37445
25069,"QA","33","479b","CDI","O","C","ct_9",1829,"tr_6",21889
25070,"PZ","33","422e","AUT","O","P","ct_1",303,"tr_6",2836
25076,"NZ","95","477c","CDI","O","C","ct_9",1813,"tr_6",26708
25077,"NZ","33","533a","CDI","O","C","ct_9",1846,"tr_3",36260
25080,"QB","33","434d","CDI","O","P","ct_8",1450,"tr_4",20261
25085,"FZ","33","632e","CDI","O","C","ct_9",2021,"tr_1",20523
25087,"GZ","33","554f","CDI","O","C","ct_9",685,"tr_1",6487
25088,"QB","33","525d","AUT","O","C","ct_3",1820,"tr_5",21452
25092,"CA","33","556a","APP","A","C","ct_6",1820,"tr_1",5210
25094,"GZ","33","554e","CDI","O","C","ct_9",1801,"tr_1",15407
25097,"QB","33","675b","CDI","X","P","ct_8",908,"tr_5",3803
25104,"CF","33","475a","CDI","O","C","ct_9",1820,"tr_6",21897
25106,"CE","33","475b","CDI","O","C","ct_9",1888,"tr_6",32877
25109,"GZ","33","553c","CDI","O","C","ct_9",1938,"tr_3",29648
25110,"QB","33","526a","CDI","O","P","ct_8",179,"tr_4",1853
25112,"FZ","33","621b","CDI","O","C","ct_9",1820,"tr_5",25585
25113,"CL","33","483a","CDI","O","C","ct_9",1923,"tr_6",40875
25117,"MA","31","388a","CDI","O","C","ct_9",1631,"tr_6",25121
25119,"CF","33","625c","CDI","O","C","ct_9",1825,"tr_4",22641
25123,"QB","33","563a","CDI","O","D","ct_7",3000,"tr_1",14272
25125,"KZ","24","376c","CDI","O","C","ct_9",1819,"tr_1",39479
25126,"GZ","33","542a","CDI","O","C","ct_9",2028,"tr_1",24095
25127,"JC","33","372b","CDI","O","C","ct_9",1820,"tr_2",25232
25128,"IZ","33","561c","TOA","O","C","ct_9",995,"tr_1",11338
25130,"FZ","33","681b","CDI","O","C","ct_9",1809,"tr_1",22290
25131,"HZ","30","641a","CDI","O","C","ct_9",2500,"tr_3",24131
25132,"QA","33","431f","AUT","O","C","ct_3",1651,"tr_6",23859
25136,"MA","33","474c","CDI","O","C","ct_9",2267,"tr_1",40452
25138,"MC","33","375a","CDI","O","P","ct_9",1331,"tr_2",26752
25139,"LZ","47","543g","CDD","O","C","ct_9",584,"tr_1",6032
25142,"HZ","33","641a","CDI","O","C","ct_9",2254,"tr_2",23827
25147,"GZ","33","551a","CDI","O","C","ct_9",1785,"tr_6",19545
25149,"PZ","33","526c","CDI","O","C","ct_9",1956,"tr_1",25337
25150,"NZ","33","684a","CDI","O","P","ct_9",1992,"tr_6",15957
25152,"GZ","33","634a","CDI","O","C","ct_9",1800,"tr_2",19356
25153,"OZ","33","434f","CDI","O","C","ct_8",2200,"tr_3",55753
25155,"LZ","33","461d","CDI","O","C","ct_9",1813,"tr_6",27445
25156,"NZ","33","534a","CDI","O","C","ct_6",1667,"tr_4",13381
25160,"IZ","33","488a","CDI","O","C","ct_9",2297,"tr_1",23815
25164,"DZ","33","387e","CDI","O","C","ct_9",1867,"tr_5",40519
25165,"HZ","33","462e","CDI","O","C","ct_9",1599,"tr_6",20731
25169,"CM","33","628b","APP","A","C","ct_6",1812,"tr_1",15011
25170,"NZ","33","461e","CDD","O","C","ct_6",1467,"tr_5",18472
25172,"OZ","33","461b","CDI","O","C","ct_8",1848,"tr_6",28972
25175,"NZ","33","676e","TTP","O","C","ct_9",1276,"tr_1",8455
25176,"EZ","33","644a","CDI","O","C","ct_9",1872,"tr_4",26855
25179,"PZ","33","525a","CDI","O","C","ct_8",1824,"tr_3",15398
25181,"AZ","33","692a","AUT","O","P","ct_6",294,"tr_1",2407
25183,"GZ","33","487a","CDI","O","C","ct_9",1923,"tr_2",31683
25185,"QB","33","563a","AUT","O","C","ct_2",1820,"tr_5",19955
25187,"PZ","33","523b","AUT","O","C","ct_1",1820,"tr_3",14242
25188,"SZ","33","423b","CDI","O","C","ct_8",1820,"tr_2",19386
25190,"MA","33","473c","CDD","O","P","ct_9",610,"tr_5",14309
25191,"QB","33","525d","CDI","O","C","ct_8",1820,"tr_4",17885
25195,"CJ","33","473b","CDI","O","C","ct_9",1819,"tr_6",22897
25197,"HZ","33","333c","CDI","O","C","ct_9",1820,"tr_6",27867
25210,"JA","33","465b","CDI","O","C","ct_9",1880,"tr_5",32516
25212,"QA","33","526a","CDI","O","C","ct_8",1867,"tr_6",16978
25213,"GZ","33","551a","CDI","O","C","ct_9",1820,"tr_1",19967
25216,"LZ","33","463e","CDI","O","C","ct_9",1820,"tr_2",22596
25217,"KZ","94","388c","CDI","O","C","ct_9",2200,"tr_6",52596
25218,"GZ","33","462e","CDI","O","P","ct_9",300,"tr_1",10730
25220,"GZ","75","554e","CDI","O","C","ct_9",1835,"tr_5",21344
25221,"GZ","33","554a","CDI","O","C","ct_9",580,"tr_5",11084
25222,"HZ","33","333c","CDI","O","C","ct_9",3000,"tr_3",75084
25228,"PZ","33","341a","CDI","O","C","ct_8",1820,"tr_3",21499
25233,"NZ","33","674d","TTP","O","C","ct_9",967,"tr_1",10193
25236,"FZ","33","543b","CDI","O","C","ct_9",1505,"tr_5",23060
25242,"QA","33","543g","CDI","O","C","ct_8",1815,"tr_6",16142
25248,"DZ","33","485a","CDI","O","C","ct_9",1820,"tr_6",44681
25249,"GZ","33","554b","CDI","O","C","ct_9",460,"tr_0",8200
25250,"QA","33","332b","CDI","O","C","ct_3",1815,"tr_6",62532
25260,"HZ","33","333c","CDI","O","C","ct_9",1820,"tr_2",34989
25261,"AZ","33","692a","CDI","O","C","ct_6",272,"tr_0",2948
25262,"CG","33","628a","CDI","O","C","ct_9",1776,"tr_6",28223
25265,"MB","33","342g","CDI","O","C","ct_5",2102,"tr_6",70070
25266,"IZ","33","488a","CDI","O","C","ct_9",2055,"tr_3",16924
25267,"QA","17","542a","AUT","O","C","ct_6",1359,"tr_0",19470
25269,"NZ","33","681a","TTP","O","C","ct_9",1175,"tr_1",12268
25272,"KZ","33","561b","CDI","O","C","ct_9",1821,"tr_1",19107
25275,"GZ","33","374c","CDI","O","C","ct_9",2500,"tr_6",52754
25279,"QB","33","525d","CDI","O","C","ct_8",1820,"tr_5",23661
25282,"NZ","33","543h","TTP","O","K","ct_9",531,"tr_2",11039
25283,"HZ","33","641a","CDI","O","C","ct_6",2208,"tr_2",20340
25288,"HZ","33","641b","CDI","O","C","ct_9",1869,"tr_6",24785
25294,"CM","33","676c","CDI","O","C","ct_9",1854,"tr_5",14403
25295,"OZ","33","524b","AUT","O","C","ct_1",1820,"tr_6",22241
25296,"QB","33","525d","CDI","O","C","ct_9",1807,"tr_3",15542
25300,"GZ","33","554c","CDI","O","C","ct_9",1819,"tr_5",18131
25301,"CF","33","674a","CDI","O","C","ct_9",1820,"tr_1",17363
25302,"QB","33","525b","CDI","X","P","ct_8",685,"tr_5",2477
25305,"QB","33","675b","CDI","X","C","ct_8",1773,"tr_5",7153
25313,"GZ","33","374b","CDI","O","C","ct_9",2028,"tr_3",26937
25314,"OZ","33","372b","CDI","O","C","ct_8",1848,"tr_6",37681
25315,"PZ","33","421b","CDI","O","C","ct_8",1852,"tr_2",22737
25318,"QB","33","676e","CDI","X","C","ct_8",1627,"tr_6",6078
25321,"GZ","93","462b","CDI","O","C","ct_9",1719,"tr_4",26671
25325,"MA","33","472a","CDI","O","C","ct_9",1771,"tr_3",20743
25328,"NZ","33","684a","CDI","O","P","ct_9",611,"tr_3",5770
25331,"CG","33","626a","CDI","O","C","ct_9",573,"tr_6",21427
25334,"PZ","33","423a","CDI","O","P","ct_9",1401,"tr_1",14054
25337,"NZ","33","534a","CDI","O","C","ct_9",1996,"tr_3",16984
25341,"KZ","33","543b","CDI","O","C","ct_9",1836,"tr_1",23282
25342,"OZ","33","621f","AUT","O","C","ct_2",1818,"tr_6",19607
25347,"CM","33","628a","CDI","O","C","ct_6",1290,"tr_2",14741
25350,"QA","33","344b","CDI","O","C","ct_1",1820,"tr_3",70134
25351,"QB","33","526c","CDI","O","C","ct_8",1834,"tr_2",17111
25355,"OZ","33","621f","AUT","O","C","ct_2",1831,"tr_6",22684
25356,"FZ","95","628a","CDI","O","C","ct_9",1747,"tr_6",23098
25357,"GZ","33","544a","CDI","O","C","ct_9",2021,"tr_1",36615
25362,"HZ","33","642b","CDI","O","C","ct_9",1988,"tr_1",17416
25365,"LZ","33","542a","CDI","O","C","ct_6",1613,"tr_1",16524
25369,"CM","33","675b","CDI","O","C","ct_9",1444,"tr_5",16759
25374,"MB","33","374d","CDI","O","C","ct_9",2028,"tr_2",41239
25375,"GZ","33","634c","CDI","O","C","ct_9",1889,"tr_1",18750
25378,"DZ","33","486b","CDI","O","C","ct_9",1806,"tr_6",20223
25381,"QB","33","434a","CDI","O","C","ct_8",1820,"tr_3",32298
25383,"NZ","33","691d","CDD","O","C","ct_8",714,"tr_4",5503
25384,"EZ","33","684b","CDI","O","C","ct_9",1869,"tr_4",17574
25385,"PZ","33","424a","CDI","O","C","ct_9",2008,"tr_1",27696
25387,"CH","33","477b","CDI","O","C","ct_6",2028,"tr_1",31389
25388,"FZ","33","632j","CDI","O","C","ct_9",1812,"tr_4",18861
25396,"CL","33","384b","CDI","O","C","ct_9",1872,"tr_6",61071
25400,"PZ","33","341a","CDI","O","P","ct_8",1759,"tr_3",23061
25401,"QB","33","424a","CDI","O","C","ct_8",1820,"tr_4",22471
25402,"JC","33","462e","CDI","O","C","ct_9",1881,"tr_5",25183
25405,"QB","33","435b","CDI","O","P","ct_8",1373,"tr_5",10486
25406,"LZ","33","543h","CDI","O","P","ct_6",1456,"tr_1",16501
25413,"QB","33","675b","CDI","X","C","ct_8",1761,"tr_5",9134
25414,"NZ","83","653a","CDI","O","C","ct_9",2200,"tr_6",46955
25415,"QB","33","526c","CDI","O","C","ct_9",1827,"tr_2",13285
25419,"HZ","33","641a","CDI","O","C","ct_6",2177,"tr_3",18182
25422,"GZ","33","487a","CDI","O","C","ct_9",2027,"tr_2",26752
25430,"NZ","33","555a","CDI","O","P","ct_9",1439,"tr_4",11984
25433,"CL","64","374c","CDI","O","C","ct_9",2200,"tr_6",62496
25434,"JC","33","478a","CDI","O","C","ct_9",448,"tr_5",10513
25436,"DZ","33","485a","AUT","O","C","ct_9",1866,"tr_3",21364
25440,"HZ","33","451a","CDI","O","C","ct_9",1820,"tr_6",24090
25443,"IZ","33","468a","CDI","O","C","ct_9",1823,"tr_3",18680
25445,"GZ","33","554a","CDI","O","C","ct_9",2023,"tr_2",30092
25448,"CG","33","542a","CDI","O","C","ct_9",1210,"tr_1",14433
25452,"SZ","33","372e","CDD","O","C","ct_8",851,"tr_2",16036
25455,"NZ","33","684a","TOA","O","P","ct_9",423,"tr_5",8316
25456,"NZ","33","526b","CDI","O","C","ct_9",1668,"tr_1",33247
25457,"PZ","33","341a","CDI","O","C","ct_8",1741,"tr_4",22862
25467,"QB","33","564a","CDI","O","C","ct_8",1843,"tr_3",19789
25472,"GZ","01","543b","CDI","O","C","ct_9",2174,"tr_3",32357
25473,"CH","33","543g","CDI","O","C","ct_9",1820,"tr_2",29394
25474,"HZ","33","641b","CDI","O","C","ct_9",1832,"tr_6",29598
25480,"GZ","33","556a","APP","A","C","ct_9",1825,"tr_1",9275
25482,"NZ","24","691e","CDI","O","C","ct_8",2079,"tr_1",16558
25484,"FZ","33","475a","CDI","O","C","ct_9",1587,"tr_3",25643
25485,"GZ","33","634c","CDI","O","C","ct_9",1820,"tr_3",17204
25486,"QB","33","524c","AUT","X","P","ct_2",1831,"tr_4",12845
25488,"GZ","33","433d","CDI","O","P","ct_9",1334,"tr_1",18621
25489,"GZ","33","433d","CDI","O","P","ct_6",843,"tr_1",11154
25493,"MA","33","385a","CDI","O","C","ct_9",1820,"tr_6",25117
25495,"CM","33","628b","APP","A","C","ct_6",1812,"tr_1",14272
25496,"OZ","33","524c","AUT","O","C","ct_2",1820,"tr_6",20625
25498,"GZ","33","543b","CDI","O","P","ct_9",1508,"tr_1",13140
25504,"GZ","33","542a","CDI","O","C","ct_6",1827,"tr_1",15302
25505,"QA","33","431f","AUT","O","C","ct_3",2131,"tr_6",31977
25506,"GZ","33","388d","CDI","O","P","ct_9",1362,"tr_4",23479
25509,"QB","33","526a","AUT","O","C","ct_2",1819,"tr_5",22656
25510,"DZ","33","386b","CDI","O","C","ct_9",2200,"tr_5",51312
25513,"CM","33","623e","CDI","O","C","ct_9",1626,"tr_3",17660
25515,"IZ","33","561b","CDI","O","C","ct_9",2028,"tr_5",34658
25516,"JC","33","388c","CDI","O","C","ct_9",1820,"tr_5",33703
25518,"GZ","33","551a","CDI","O","C","ct_9",626,"tr_2",11409
25519,"EZ","33","628e","CDI","O","C","ct_9",1964,"tr_4",20985
25521,"SZ","33","543g","CDI","O","C","ct_8",1820,"tr_5",12599
25522,"QB","33","525a","CDI","X","C","ct_8",1820,"tr_4",5358
25524,"FZ","33","632a","CDI","O","C","ct_9",1789,"tr_4",26896
25527,"FZ","33","673c","CDI","O","C","ct_9",2200,"tr_3",32817
25528,"IZ","33","373d","CDI","O","C","ct_9",1581,"tr_2",17821
25530,"HZ","33","333c","CDI","O","C","ct_9",1881,"tr_6",44620
25531,"HZ","33","641a","CDI","O","C","ct_9",2192,"tr_5",20520
25534,"QB","33","461b","CDI","O","C","ct_8",1835,"tr_6",21019
25536,"JC","33","388a","CDI","O","C","ct_9",2200,"tr_6",57068
25537,"CG","33","387b","CDI","O","C","ct_9",1820,"tr_4",49532
25539,"MC","33","462e","CDI","O","C","ct_9",1812,"tr_6",23884
25541,"JC","33","388c","CDI","O","C","ct_9",1860,"tr_6",29504
25542,"CE","33","674a","CDI","O","C","ct_9",2055,"tr_3",26293
25544,"NZ","33","563c","TOA","O","P","ct_8",1145,"tr_4",8937
25546,"JC","33","373c","CDI","O","C","ct_9",1751,"tr_4",27432
25553,"QA","33","431f","AUT","O","C","ct_3",2028,"tr_6",24228
25555,"IZ","33","636d","CDI","O","C","ct_9",1853,"tr_4",19888
25560,"TZ","33","563a","CDI","O","C","ct_7",2200,"tr_1",14195
25561,"KZ","33","467a","CDI","O","P","ct_9",860,"tr_5",12688
25564,"SZ","33","637d","CDI","O","C","ct_9",1956,"tr_2",17418
25566,"QB","33","563b","TOA","O","Y","ct_8",691,"tr_4",5959
25568,"FZ","94","481b","CDI","O","C","ct_9",1645,"tr_6",28858
25575,"RZ","33","341b","CDI","O","C","ct_9",1820,"tr_6",36762
25577,"GZ","33","626b","CDI","O","C","ct_9",1820,"tr_5",16601
25579,"QB","33","526a","CDI","O","C","ct_8",2013,"tr_4",20461
25580,"NZ","16","691e","TOA","O","P","ct_8",632,"tr_2",9072
25581,"JC","33","388a","AUT","X","C","ct_9",1030,"tr_6",14461
25585,"OZ","75","524b","TOA","O","C","ct_1",1820,"tr_6",25899
25587,"GZ","33","462b","CDI","O","C","ct_9",1819,"tr_5",28594
25588,"PZ","33","341a","CDI","O","C","ct_8",1820,"tr_4",25597
25593,"SZ","33","461c","CDI","O","C","ct_8",1812,"tr_2",24310
25595,"OZ","33","333f","CDI","O","C","ct_2",1820,"tr_6",54335
25596,"KZ","33","467b","CDI","O","C","ct_9",1891,"tr_4",25752
25597,"NZ","33","545b","CDI","O","C","ct_9",1819,"tr_3",25777
25598,"QA","33","525d","CDI","O","C","ct_3",1810,"tr_6",17823
25599,"JC","33","388a","AUT","X","C","ct_9",1442,"tr_5",13498
25603,"PZ","33","423b","TOA","O","P","ct_8",459,"tr_4",4272
25605,"GZ","33","433d","CDI","O","C","ct_6",1820,"tr_1",23193
25608,"EZ","33","621e","CDI","O","C","ct_9",1925,"tr_3",21223
25610,"JC","33","388c","CDI","O","C","ct_9",2001,"tr_4",32525
25613,"PZ","33","463d","CDI","O","P","ct_9",910,"tr_2",8506
25617,"EZ","33","485a","CDI","O","C","ct_9",1830,"tr_3",29343
25621,"QA","33","525d","CDI","O","P","ct_8",1695,"tr_5",15051
25622,"SZ","33","562b","CDI","O","P","ct_6",844,"tr_1",10841
25624,"QB","33","563b","CDI","O","P","ct_8",1433,"tr_5",12410
25632,"GZ","33","552a","CDI","O","P","ct_9",1301,"tr_6",14711
25634,"QB","34","526a","CDI","O","C","ct_9",1820,"tr_3",18324
25636,"SZ","34","691e","CDD","O","Y","ct_8",266,"tr_1",4652
25637,"QA","34","525d","CDI","O","P","ct_9",1439,"tr_5",13515
25638,"QA","34","526b","CDI","O","P","ct_6",909,"tr_1",7714
25639,"LZ","34","691d","CDI","O","C","ct_9",627,"tr_0",5086
25641,"HZ","34","451a","CDI","O","C","ct_9",1810,"tr_6",20326
25643,"QB","34","434d","CDI","O","C","ct_8",1539,"tr_5",22039
25644,"QA","34","431e","CDI","O","P","ct_9",644,"tr_6",8180
25650,"HZ","34","521a","CDI","O","C","ct_9",1820,"tr_6",15351
25651,"FZ","34","632f","CDI","O","C","ct_9",1796,"tr_2",20856
25653,"HZ","34","676d","APP","A","C","ct_9",1824,"tr_2",10477
25656,"QB","34","434d","CDD","O","C","ct_8",1673,"tr_4",18389
25661,"CI","34","676c","CDI","O","C","ct_9",1776,"tr_6",18897
25662,"HZ","84","641a","CDI","O","C","ct_9",2165,"tr_5",20749
25664,"QA","34","387d","CDI","O","C","ct_9",1820,"tr_5",27839
25665,"FZ","34","681a","CDI","O","C","ct_9",1783,"tr_1",17930
25666,"MA","75","554e","APP","A","C","ct_9",1464,"tr_6",6837
25668,"MA","34","543c","AUT","X","C","ct_9",900,"tr_1",3955
25672,"QA","34","344b","CDI","O","C","ct_1",1820,"tr_5",50130
25675,"CA","34","676c","CDI","O","C","ct_9",2154,"tr_3",22703
25676,"HZ","34","641a","CDI","O","C","ct_9",2127,"tr_5",16894
25679,"NZ","34","631a","CDI","O","C","ct_9",1208,"tr_2",9178
25683,"FZ","34","633a","APP","A","C","ct_9",786,"tr_2",5804
25684,"QA","34","461c","CDI","O","C","ct_9",1844,"tr_3",22449
25689,"SZ","34","434f","CDI","O","C","ct_8",1850,"tr_1",17987
25695,"MA","34","461e","CDD","O","C","ct_9",1667,"tr_4",15769
25696,"FZ","34","481b","CDI","O","C","ct_9",1597,"tr_1",13582
25697,"HZ","34","552a","CDI","O","C","ct_9",1820,"tr_2",29274
25698,"HZ","34","461f","AUT","O","C","ct_5",1820,"tr_5",28382
25708,"FZ","34","681b","APP","A","C","ct_6",1423,"tr_1",10665
25717,"CK","34","673c","CDD","O","C","ct_9",1267,"tr_4",18420
25720,"GZ","34","554b","CDI","O","C","ct_9",1820,"tr_2",22648
25724,"QB","34","563a","CDI","O","D","ct_7",2559,"tr_1",8660
25729,"KZ","34","467a","CDI","O","C","ct_9",1980,"tr_1",26856
25730,"NZ","34","681a","TTP","O","C","ct_6",531,"tr_1",9822
25735,"QA","34","433a","CDI","O","C","ct_9",1847,"tr_5",18250
25739,"GZ","34","653a","CDI","O","C","ct_6",1984,"tr_2",16857
25740,"SZ","34","563b","CDI","O","P","ct_8",1709,"tr_5",11807
25743,"FZ","34","632a","CDI","O","C","ct_9",1682,"tr_1",18387
25744,"QB","34","563b","CDI","O","P","ct_8",1241,"tr_6",8398
25748,"GZ","34","374a","CDI","O","C","ct_9",1820,"tr_1",24846
25753,"QB","34","526a","CDI","O","C","ct_8",1774,"tr_3",18089
25756,"QB","34","423b","CDI","O","C","ct_8",1794,"tr_4",22890
25757,"GZ","34","462c","CDI","O","C","ct_9",2075,"tr_5",28388
25770,"QA","34","431a","CDI","O","C","ct_9",1805,"tr_6",22487
25773,"QB","34","676a","CDI","X","C","ct_8",1804,"tr_4",5845
25776,"QB","34","684a","CDI","O","P","ct_8",701,"tr_3",5317
25782,"PZ","34","523b","AUT","O","C","ct_1",1820,"tr_5",16475
25784,"NZ","34","543b","CDI","O","C","ct_9",1475,"tr_1",24440
25787,"QA","34","431f","CDI","O","P","ct_9",1058,"tr_4",24698
25789,"NZ","34","681a","TTP","O","C","ct_9",1299,"tr_1",9446
25792,"CC","34","675c","CDI","O","C","ct_9",2039,"tr_1",18585
25793,"EZ","34","380a","CDI","O","C","ct_9",3000,"tr_5",45542
25794,"FZ","34","472c","CDI","O","C","ct_9",1589,"tr_4",20674
25797,"GZ","34","462b","CDI","O","C","ct_9",2374,"tr_4",34858
25801,"JB","34","333d","CDI","O","C","ct_9",2200,"tr_6",47417
25803,"JC","34","388b","CDI","O","C","ct_9",1961,"tr_5",25827
25804,"QA","34","344b","CDI","O","C","ct_8",1924,"tr_2",46966
25805,"PZ","34","341a","CDI","O","C","ct_8",1820,"tr_4",18469
25812,"MA","34","461d","CDI","O","C","ct_9",1789,"tr_1",21149
25814,"FZ","34","632f","CDI","O","C","ct_6",1833,"tr_1",13626
25816,"QA","34","526b","CDI","O","P","ct_9",835,"tr_1",7004
25818,"HZ","34","451a","CDI","O","C","ct_9",2004,"tr_3",22081
25825,"CF","34","475b","CDI","O","C","ct_9",1831,"tr_4",23797
25830,"NZ","34","563c","AUT","X","C","ct_8",1230,"tr_2",6961
25831,"FZ","34","634d","CDI","O","P","ct_9",1196,"tr_3",13415
25835,"PZ","34","422b","AUT","O","C","ct_1",1820,"tr_6",34037
25836,"GZ","34","374a","CDI","O","C","ct_9",2161,"tr_6",49724
25839,"QA","34","526a","CDI","O","C","ct_8",178,"tr_5",1928
25848,"QA","34","526b","CDI","O","C","ct_6",1591,"tr_1",16103
25852,"QB","34","434d","CDI","O","C","ct_8",1929,"tr_4",21585
25859,"OZ","34","543b","CDI","O","C","ct_8",1847,"tr_5",18954
25862,"GZ","34","653a","CDI","O","C","ct_9",1820,"tr_3",22464
25863,"JC","34","388a","CDI","O","C","ct_9",1666,"tr_6",24186
25865,"JA","34","354f","CDI","O","C","ct_8",1823,"tr_1",20936
25872,"MA","34","543b","CDI","O","C","ct_9",1907,"tr_2",23038
25873,"MA","34","632a","CDI","O","C","ct_9",2200,"tr_1",29676
25877,"PZ","34","341b","CDI","O","C","ct_8",2173,"tr_1",27718
25878,"GZ","34","643a","CDI","O","C","ct_9",2000,"tr_4",17654
25879,"OZ","34","526a","AUT","O","C","ct_3",1827,"tr_6",22799
25880,"GZ","34","551a","CDI","O","C","ct_9",2098,"tr_1",18396
25883,"PZ","34","341b","CDI","O","P","ct_8",687,"tr_4",14007
25888,"QB","34","424a","CDI","O","C","ct_8",1791,"tr_1",13547
25892,"MB","34","342g","CDI","O","C","ct_9",1827,"tr_6",63248
25898,"QA","34","434d","CDI","O","C","ct_8",1766,"tr_5",20811
25901,"MB","34","543h","CDI","O","P","ct_9",1299,"tr_3",17961
25906,"KZ","34","376c","CDI","O","C","ct_9",1965,"tr_3",38336
25915,"NZ","34","676a","TTP","O","C","ct_9",1236,"tr_4",14584
25920,"OZ","34","344c","CDD","O","C","ct_3",2027,"tr_6",22489
25922,"EZ","34","462e","CDI","O","C","ct_9",1372,"tr_4",17490
25923,"QB","34","344b","CDI","O","P","ct_6",48,"tr_2",2143
25933,"HZ","34","451a","CDI","O","C","ct_9",1847,"tr_2",18860
25937,"JC","34","388b","CDI","O","C","ct_9",2200,"tr_6",52663
25938,"JC","34","373d","CDI","O","C","ct_9",1820,"tr_1",67916
25940,"GZ","34","433d","CDI","O","C","ct_9",1820,"tr_1",18429
25941,"JA","34","388a","CDI","O","C","ct_9",1820,"tr_4",24210
25943,"IZ","34","488b","CDI","O","C","ct_9",1775,"tr_0",24129
25944,"FZ","34","633a","CDI","O","C","ct_9",1507,"tr_1",13852
25948,"LZ","34","542a","CDI","O","C","ct_6",1579,"tr_1",16145
25951,"GZ","34","477b","APP","A","C","ct_9",1443,"tr_5",9305
25965,"FZ","34","382c","CDI","O","C","ct_9",2003,"tr_5",44938
25969,"QA","34","526a","CDI","O","P","ct_3",910,"tr_6",9529
25970,"GZ","34","554e","TOA","O","C","ct_9",916,"tr_0",12246
25980,"CH","34","673a","CDI","O","C","ct_9",2024,"tr_1",18980
25981,"TZ","34","563c","CDI","O","C","ct_7",97,"tr_1",1393
25982,"MB","34","342g","CDI","O","C","ct_9",1827,"tr_6",56603
25985,"CA","34","674c","CDI","O","C","ct_6",1916,"tr_2",19353
25986,"MA","34","461f","CDI","O","C","ct_9",1566,"tr_2",18431
25988,"JA","34","543g","CDI","O","C","ct_9",1820,"tr_3",20217
25992,"QA","34","542a","CDI","O","P","ct_6",1824,"tr_1",16462
25993,"TZ","34","563c","CDI","O","C","ct_7",265,"tr_1",2786
